Lookup ID,ZIP,Member,Total   Number of GIfts,Total Gifts Amount,Largest Gift Amount,Largest Gift Date,First Gift Amount,First Gift Date,Latest Gift Amount,Lastest Gift Date,Total Pledges,Predicted Affinity for Children's Causes,Predicted Affinity for Educational Causes,Predicted Affinity for Science,Predicted Affinity for Arts & Culture,Predicted Level of Technology Adoption
8-10039536,16827-1541,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
883,20190-4403,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,90,50,Apprentice
8-10006014,22039-1655,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
536,22180-4159,"",1,100.00,100.00,5/23/2012,100.00,5/23/2012,100.00,5/23/2012,0.00,35,35,35,42,Apprentice
8-10053044,22044-1510,"",,"",0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10030379,20121-3881,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
8-10053139,22003,"",,"",0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,Apprentice
8-10017607,22101-5668,"",1,200.00,200.00,10/21/2016,200.00,10/21/2016,200.00,10/21/2016,0.00,0,0,0,35,Apprentice
8-10028100,20148-7533,8-10002682,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10006484,22042-1328,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
8-10033126,20148-6887,8-10002924,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,Apprentice
8-10028011,20815-3425,"",1,100.00,100.00,12/14/2017,100.00,12/14/2017,100.00,12/14/2017,0.00,0,0,0,35,Apprentice
8-10005972,20147-3922,"",1,100.00,100.00,10/13/2015,100.00,10/13/2015,100.00,10/13/2015,0.00,90,35,35,50,0
8-10031504,22601-3901,"",1,100.00,100.00,5/1/2018,100.00,5/1/2018,100.00,5/1/2018,0.00,0,0,0,0,0
8-10005177,20186-3845,8-10000342,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10005586,22030-8555,8-10000403,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10025129,11228-2505,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,Wizard
8-10012938,22182-1417,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
8-10013553,27513-6013,8-10001829,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10030741,22030-7474,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
447,20191-4806,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10032126,20170-2452,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,50,0
8-10035323,37914-4410,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,90,0,35,0
8-10053248,20148-7494,"",,"",0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10047288,20171-2912,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
8-10037068,22015-2438,8-10003120,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10027318,72364-1760,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,0
629,22182-4042,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
8-10051481,22124-2022,8-10003799,0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
8-10026945,30563-2603,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
8-10023411,22033-3010,8-10002403,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,90,0,35,0
8-10005487,22181-3235,8-10000388,0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
8-10048706,20148-6006,8-10003636,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10005449,20148-1750,8-10000387,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10025683,20176-7838,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
8-10043153,22042-3328,8-10003386,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10042797,22101-2209,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,50,0
8-10017569,20171-1920,"",1,20.00,20.00,10/30/2016,20.00,10/30/2016,20.00,10/30/2016,0.00,35,35,35,35,0
8-10019869,20169-4969,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,Apprentice
8-10020372,20136-2587,8-10003412,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10012831,22030-5647,8-10001767,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10018173,22181-5343,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10024836,11375-4963,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10032605,20165-2458,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10026028,22030-2054,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,Apprentice
753,20171-2960,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,50,Apprentice
8-10035183,20037-3301,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,Apprentice
8-10014809,33629-4914,8-10001907,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
1231,20155-6246,"",2,600.00,400.00,10/14/2014,400.00,10/14/2014,200.00,12/5/2016,600.00,35,35,35,35,0
8-10032218,30041-2035,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10013704,20132-3230,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,0
1162,20191-4514,"",1,200.00,200.00,10/14/2014,200.00,10/14/2014,200.00,10/14/2014,200.00,35,35,90,42,Apprentice
445,22124-1204,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,50,Apprentice
2252,20171-2918,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10037008,22030-2133,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
8-10031592,20165-7216,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
1731,20147-7488,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
1683,22102-4231,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,0
8-10028460,20121-2197,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10028537,20151-3320,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
8-10021785,22033-3218,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,0
8-10023722,22030-5414,8-10002417,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
8-10044203,22042-2104,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10025185,20151-3644,8-10002473,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,Wizard
552,22066-3210,"",1,100.00,100.00,5/23/2012,100.00,5/23/2012,100.00,5/23/2012,0.00,0,0,0,35,Apprentice
8-10030849,60044-1407,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10038629,20616-6027,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10004076,20816-3563,8-10000239,0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,50,Novice
8-10032686,14850-9690,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10019786,20169-3291,8-10002204,0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
8-10047063,20164-2732,8-10003586,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10029569,22066-1811,8-10002756,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
8-10031626,20191-2105,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
275,22066-2312,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,50,0
8-10026983,22032-4018,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10032139,20171-3421,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
8-10018159,20124-2303,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10040308,22124-2261,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10052578,20158-3501,"",,"",0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,0
8-10052878,22181-5932,"",,"",0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10024412,97760-9600,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,90,35,0
8-10027129,22202-3566,8-10002591,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10036226,20176-3614,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10041645,20136-6163,8-10002592,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10020703,22003-4107,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10019180,22032-1400,8-10002168,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
2302,22310-2729,8-10001999,1,100.00,100.00,4/22/2015,100.00,4/22/2015,100.00,4/22/2015,0.00,35,35,35,35,Apprentice
8-10028309,22207-2079,8-10002702,0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,0
8-10035092,22903-3642,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
8-10026083,22182-2168,"",0,0.00,0.00,"",0.00,"",0.00,"",50.00,35,35,35,42,0
8-10036372,20148-1770,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,Wizard
8-10046913,20164-1516,8-10003551,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10052949,20170-5241,"",,"",0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
915,22066-3552,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,0
8-10005160,22015-4055,8-10000338,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10037287,22032-4023,8-10003128,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10027409,22003-4641,8-10002899,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10041400,22153-1008,8-10003314,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
8-10047331,22015-4078,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,50,0
8-10028450,20181-2950,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10028114,22182-3720,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
8-10051641,20878-1955,8-10003795,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10022664,20105-6221,8-10002375,0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
8-10051882,22150-1144,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
8-10018127,22015-2519,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,90,42,0
8-10047205,20601-5270,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10012069,22038-1467,8-10001695,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
745,20171-4313,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10011372,20124-2459,8-10001625,0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
210,22102-5902,"",1,25.00,25.00,5/23/2012,25.00,5/23/2012,25.00,5/23/2012,0.00,35,35,35,35,0
8-10047586,20124-2124,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
8-10052668,22202-3180,"",,"",0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10046829,22015-4463,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10032008,20147-2755,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,90,35,0
8-10044708,20147-4023,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10048735,20152-3666,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10018238,20165-4324,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10038753,22030-2927,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10017049,20148-4865,8-10002033,0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
8-10044888,22124-2236,8-10003470,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
8-10044790,22030-8240,8-10002060,0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,0
273,22066-1750,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10002467,20148-4301,"",5,"6,000.00","2,000.00",1/13/2020,"1,000.00",12/30/2015,"2,000.00",1/13/2020,"5,000.00",35,35,35,50,0
8-10028008,01867-0183,8-10002674,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10032164,20191-2325,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10043091,20151-1311,8-10003380,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10040143,22153-1343,8-10003231,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10052183,22305-3106,"",,"",0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10027589,23464-6715,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,0
8-10013738,22039-1844,"",2,200.00,100.00,5/1/2018,100.00,4/28/2016,100.00,5/1/2018,0.00,35,90,35,50,0
8-10038668,20151-2503,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10022336,20170-5710,8-10002356,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10018536,22015-2434,8-10002568,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10049649,08542-3704,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10019905,20191-1632,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,Apprentice
8-10023112,22182-1437,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10033949,22027-1060,8-10002960,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10035389,22124-2728,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10045300,22192-1741,8-10003489,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10010145,20171-3922,8-10001584,0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
8-10033832,22152-3014,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,0
2271,20171-2432,"",2,"5,000.00","2,500.00",10/28/2015,"2,500.00",10/28/2015,"2,500.00",10/28/2015,0.00,35,35,35,50,0
8-10018560,12561-3630,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
8-10016214,22180-7121,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,0
8-10039496,22152-1612,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,90,0,35,0
8-10041996,22031-1313,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10026506,22003,8-10002559,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10035566,07650-2301,8-10003008,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10049861,22039-3015,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10004999,20151-2453,8-10000308,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10018519,20171-2926,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,50,0
8-10029585,20110-8908,8-10002760,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10017508,22307-1912,"",1,500.00,500.00,10/25/2016,500.00,10/25/2016,500.00,10/25/2016,0.00,35,35,35,50,Apprentice
8-10052787,22032-3283,"",,"",0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10031093,20716-3200,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10029052,22151-3324,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10052486,6219,"",,"",0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10041376,22046-3015,8-10003398,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10025648,20169-8132,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,90,0,0,0
8-10017514,23220-4515,"",1,20.00,20.00,10/26/2016,20.00,10/26/2016,20.00,10/26/2016,0.00,0,0,0,0,0
8-10018495,22031-3326,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10036681,22032-1483,8-10003098,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10013957,20137-1925,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,90,35,90,42,0
8-10028972,20016-3410,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
8-10005479,20152-4179,8-10000385,0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,90,35,0
8-10003528,20169-8131,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,0
1018,85260-6160,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
8-10004192,20171-1630,8-10000166,0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,90,50,0
8-10038735,20170-3127,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10047966,20136-2504,8-10003611,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10014521,22033,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,Novice
8-10006194,20175-4412,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,Apprentice
8-10030780,22033-6039,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,50,0
8-10023856,22102-1443,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,Apprentice
8-10050901,20007-6218,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10031896,22152-1725,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,50,0
8-10018096,33458-2849,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10048872,22025-3054,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
8-10032593,20136-2161,8-10002892,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10039147,20169-5410,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,0
8-10034332,22039-1431,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,90,35,35,0
8-10026610,20105-2663,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
8-10023525,30809-8032,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
8-10026690,24060-2010,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10019581,22180-6421,8-10002188,0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,50,0
8-10018277,94566-3816,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10052572,22033-2873,"",,"",0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,0
8-10031787,22554-3741,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,90,90,35,0
8-10051860,20171-2524,8-10003808,0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
8-10020601,22030-6200,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10032289,22182-2101,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,50,0
8-10030399,22030,8-10002835,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10039235,84790-1128,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
8-10016842,22030-1939,8-10002016,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10004925,22039-2930,8-10000289,1,160.00,160.00,6/30/2018,160.00,6/30/2018,160.00,6/30/2018,0.00,0,0,90,0,Apprentice
8-10003711,22180-6306,8-10000018,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
8-10049969,20147-3248,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10032619,22407-1506,8-10002893,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10036269,22032-3103,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10050561,22030-5146,8-10003718,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10013834,22181-6041,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10031709,22015-2524,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10043600,20148-8089,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
124,22066-1847,"",2,400.00,300.00,3/16/2010,300.00,3/16/2010,100.00,5/6/2014,0.00,35,35,35,50,0
8-10035465,22192-1736,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
8-10005020,60048-3070,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10005196,22209-1742,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
8-10050547,22030-1845,8-10003714,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10045815,20124-2351,8-10003505,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10041389,22151-3128,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,Novice
69,20148-5699,"",5,"18,933.16","14,933.16",10/31/2011,"14,933.16",10/31/2011,"1,000.00",4/30/2020,"5,000.00",0,0,0,0,0
8-10018012,22042-6601,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10004568,22101-2140,8-10000211,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10015602,22201-1446,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10004697,22180-7004,8-10000250,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10044352,20121-4847,8-10003440,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10022788,20187-2559,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10026048,22182-2158,"",1,100.00,100.00,10/24/2017,100.00,10/24/2017,100.00,10/24/2017,0.00,0,0,0,35,0
8-10028254,22182-2551,8-10002699,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,Novice
8-10025246,22033-2439,"",1,20.00,20.00,9/17/2017,20.00,9/17/2017,20.00,9/17/2017,0.00,35,35,35,42,0
8-10040790,22153-2836,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,50,0
188,20814-2861,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
8-10052904,22102-2934,"",,"",0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10032750,22151-1612,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
8-10003502,22102-2752,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10033843,20171-0634,8-10002952,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,Apprentice
